Name,Type,Material Upper Stem,Material Lower Cover,Material Upper Cover,Pole Stem Length,Spring,Operating Force,Tactile Force,End Force,Total Travel,Pre Travel,Tactile Position
Pink,Linear,POM/PC/PA,POM/PC/PA,POM/PC/PA,14mm,Conventional,45gf±5gf,N/A,55gf±5gf,4.0-0.5mm,2.0±0.3mm,N/A
Orange,Tactile,POM/PC/PA,POM/PC/PA,POM/PC/PA,14mm,Conventional,40gf±5gf,55gf±5gf,N/A,4.0-0.5mm,1.9±0.3mm,1.5±0.3mm
Blue,Click,POM/PC/PA,POM/PC/PA,POM/PC/PA,14mm,Conventional,50gf±5gf,60gf±5gf,N/A,4.0-0.5mm,1.9±0.3mm,1.5±0.3mm
Rose Red,Linear,POM/PC/PA,POM/PC/PA,POM/PC/PA,15mm,Progressive,43gf±5gf,N/A,55gf±5gf,3.5±0.3mm,1.9±0.3mm,N/A
Matcha Green,Linear,POM/PC/PA,POM/PC/PA,POM/PC/PA,15mm,Progressive,50gf±5gf,N/A,63gf±5gf,4.0-0.5mm,1.9±0.3mm,N/A
Ocean Blue,Tactile,POM/PC/PA,POM/PC/PA,POM/PC/PA,15mm,Progressive,36gf±5gf,45gf±5gf,N/A,4.0-0.5mm,1.9±0.3mm,0.5±0.3mm
Vintage White,Linear,POM/PC/PA,POM/PC/PA,POM/PC/PA,15mm,18mm Extension,53gf±5gf,N/A,45gf±5gf,4.0-0.5mm,1.9±0.3mm,N/A
Radiant Red,Linear,POM/PC/PA,POM/PC/PA,POM/PC/PA,15mm,18mm Extension,53gf±5gf,N/A,62gf±5gf,3.5±0.3mm,1.9±0.3mm,N/A
Lavender Purple,Tactile,POM/PC/PA,POM/PC/PA,POM/PC/PA,15mm,22mm Extension,36gf±5gf,50gf±5gf,N/A,4.0-0.5mm,1.9±0.3mm,0.5±0.3mm
Jelly White,Linear,POM/PC/PA,POM/PC/PA,POM/PC/PA,12.9mm,22mm Extension,53gf±5gf,N/A,45gf±5gf,4.0-0.3mm,1.9±0.3mm,N/A
Jelly Black,Linear,POM/PC/PA,POM/PC/PA,POM/PC/PA,12.9mm,22mm Extension,50gf±5gf,N/A,60gf±5gf,4.0-0.3mm,1.9±0.3mm,N/A
Jelly Pink,Linear,POM/PC/PA,POM/PC/PA,POM/PC/PA,12.9mm,22mm Extension,45gf±5gf,N/A,55gf±5gf,4.0-0.3mm,1.9±0.3mm,N/A
Jelly Blue,Tactile,POM/PC/PA,POM/PC/PA,POM/PC/PA,12.9mm,22mm Extension,40gf±5gf,60gf±5gf,N/A,4.0-0.3mm,1.9±0.3mm,0.3±0.2mm
Jelly Purple,Tactile,POM/PC/PA,POM/PC/PA,POM/PC/PA,13.3mm,22mm Extension,40gf±5gf,56gf±5gf,N/A,4.0-0.5mm,2.0±0.3mm,0.5±0.3mm
Starfish,Linear,POM/PC/PA,POM/PC/PA,POM/PC/PA,12.9mm,22mm Extension,50gf±5gf,N/A,60gf±5gf,4.0-0.3mm,1.9±0.3mm,N/A
Sponge,Tactile,POM/PC/PA,POM/PC/PA,POM/PC/PA,12.9mm,22mm Extension,40gf±5gf,60gf±5gf,N/A,4.0-0.3mm,1.9±0.3mm,0.3±0.2mm
Silver,Tactile,POM/PC/PA,POM/PC/PA,POM/PC/PA,14.1mm,22mm Extension,43gf±5gf,48gf±5gf,N/A,3.0±0.3mm,1.0±0.5mm,N/A
Wine Red,Linear,POM/PC/PA,POM/PC/PA,POM/PC/PA,13.3mm,16mm Progressive,43gf±5gf,N/A,55gf±5gf,4.0-0.5mm,1.9±0.3mm,N/A
Wine White,Tactile,POM/PC/PA,POM/PC/PA,POM/PC/PA,13.3mm,18mm Extension,36gf±5gf,55gf±5gf,N/A,4.0-0.5mm,1.9±0.3mm,0.5±0.3mm
Sakura,Tactile,POM/PC/PA,POM/PC/PA,POM/PC/PA,12.9mm,22mm Extension,39gf±5gf,55gf±5gf,N/A,4.0-0.3mm,1.9±0.3mm,0.3±0.2mm
Crystal,Linear,PC/PC/PC,PC/PC/PC,PC/PC/PC,13.3mm,18mm Extension,43gf±5gf,N/A,48gf±5gf,3.6±0.3mm,1.6±0.3mm,N/A
Crystal Blue,Linear,PC/PC/PC,PC/PC/PC,PC/PC/PC,13.3mm,18mm Extension,40gf±5gf,N/A,48gf±5gf,4.0-0.5mm,1.6±0.3mm,N/A
POM Pink,Linear,POM/POM/POM,POM/POM/POM,POM/POM/POM,13.3mm,18mm Extension,45gf±5gf,N/A,55gf±5gf,4.0-0.5mm,1.9±0.3mm,N/A
POM Silver,Linear,POM/POM/POM,POM/POM/POM,POM/POM/POM,14.1mm,22mm Extension,43gf±5gf,N/A,50gf±5gf,3.0±0.3mm,1.0±0.6mm,N/A
POM Brown,Tactile,POM/POM/POM,POM/POM/POM,POM/POM/POM,13.3mm,18mm Extension,40gf±5gf,50gf±5gf,N/A,4.0-0.5mm,1.9±0.3mm,1.0±0.3mm
Air,Linear,POM/PC/PC,POM/PC/PC,POM/PC/PC,13.3mm,18mm Extension,48gf±5gf,N/A,58gf±5gf,4.0-0.5mm,1.9±0.3mm,N/A
Crystal Wine Red,Linear,PC/PC/PC,PC/PC/PC,PC/PC/PC,13.6mm,22mm Extension,45gf±5gf,N/A,48gf±5gf,3.6±0.3mm,1.6±0.3mm,N/A
Crystal Silver,Linear,PC/PC/PC,PC/PC/PC,PC/PC/PC,14.1mm,22mm Extension,43gf±5gf,N/A,48gf±5gf,3.0±0.3mm,1.0±0.6mm,N/A
Cream Yellow,Linear,POM/PC/PA,POM/PC/PA,POM/PC/PA,15.3mm,18mm Extension,50gf±5gf,N/A,58gf±5gf,3.5±0.3mm,1.9±0.3mm,N/A
Cream Blue,Tactile,POM/PC/PA,POM/PC/PA,POM/PC/PA,15.3mm,18mm Extension,38gf±5gf,53gf±5gf,N/A,3.5±0.3mm,2.0±0.3mm,0.5±0.3mm
Snow Blue Grey,Linear,POM/PC/PA,POM/PC/PA,POM/PC/PA,13.3mm,18mm Extension,43gf±5gf,N/A,50gf±5gf,4.0-0.5mm,1.9±0.3mm,N/A
